date_found,title,company,location,source,url
2026-06-16,Working Student Marketing (m/f/x),CRX Markets AG,Munich,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/crx-markets-ag/working-student-marketing-munich-132586
2026-06-16,Senior Performance Marketing Manager 100% remote (m/w/d),KX Marketing,Würselen,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/kx-marketing/projektleiter-kundenbetreuer-im-performance-marketing-100-remote-wurselen-159573
2026-06-16,WerkstudentIn Marketing,amc Group,Bonn,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/amc-group/werkstudentin-marketing-bonn-489915
2026-06-16,Online Marketing Manager (m/w/d),eFLY Marketplace Services GmbH,Stuttgart,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/efly-marketplace-services-gmbh/online-marketing-manager-stuttgart-119044
2026-06-16,Werkstudent (m/w/d) Social Media Marketing,spized GmbH,Cologne,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/spized-gmbh/werkstudent-social-media-marketing-cologne-40924
2026-06-16,Werkstudent (m/w/d) Sales & Marketing,eFLY Marketplace Services GmbH,Stuttgart,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/efly-marketplace-services-gmbh/werkstudent-sales-marketing-stuttgart-420189
2026-06-16,Performance Marketing Specialist (m/w/d) | 100% Homeoffice,Online Marketing United GmbH,Braunschweig,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/online-marketing-united-gmbh/performance-marketing-specialist-100-homeoffice-braunschweig-393785
2026-06-16,Performance Marketing Manager - Vollzeit (m/w/d),AdKochMarketing GmbH,Hamburg,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/adkochmarketing-gmbh/performance-marketing-manager-vollzeit-hamburg-184680
2026-06-16,Produkt Marketing Manager - Indoor (m/w/d),sera Werke Heimtierbedarf J. Ravnak GmbH & Co.KG,Heinsberg,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/sera-werke-heimtierbedarf-j-ravnak-gmbh-cokg/produkt-marketing-manager-outdoor-heinsberg-409551
2026-06-16,Praktikum Online-Marketing / Marketing / KI / AI,SEOMATIK GmbH,Bielefeld,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/seomatik-gmbh/praktikum-online-marketing-marketing-ki-ai-bielefeld-477843
2026-06-16,Werkstudent:in (m/w/d) im Bereich Marketing,vdpConsulting AG,Hamburg,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/vdpconsulting-ag/werkstudentin-im-bereich-marketing-hamburg-85866
2026-06-16,Marketing Manager E-Commerce (m/w/d),KSi International GmbH,Dresden,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/ksi-international-gmbh/marketing-manager-e-commerce-dresden-419093
2026-06-16,Online Marketing Trainee,Cyrus Digital GmbH,Munich,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/cyrus-digital-gmbh/online-marketing-trainee-munich-499188
2026-06-16,Performance Marketing Manager Amazon (m/w/d),BonaTea GmbH,Nuremberg,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/bonatea-gmbh/performance-marketing-manager-amazon-nuremberg-408233
2026-06-16,Werkstudent (m/w/d) Google Marketing & Analytics,eFLY Marketplace Services GmbH,Stuttgart,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/efly-marketplace-services-gmbh/werkstudent-google-marketing-analytics-stuttgart-97140
2026-06-16,Junior Online Marketing Manager - Vollzeit (m/w/d),AdKochMarketing GmbH,Hamburg,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/adkochmarketing-gmbh/junior-online-marketing-manager-vollzeit-hamburg-186130
2026-06-16,Performance Marketing Manager in Teilzeit (m/w/d),Theobald Software GmbH,Stuttgart,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/theobald-software-gmbh/performance-marketing-manager-emea-stuttgart-69126
2026-06-16,Marketing Analyst,Custom Surgical GmbH,Munich,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/custom-surgical-gmbh/marketing-analyst-munich-145698
2026-06-16,Praktikum (m/w/d) Marketing & Kommunikation,Contegy,Munich,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/contegy/pflichtpraktikum-marketing-kommunikation-munich-442666
2026-06-16,Pflichtpraktikum Online Marketing Manager (m/w/d),eFLY Marketplace Services GmbH,Stuttgart,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/efly-marketplace-services-gmbh/pflichtpraktikum-online-marketing-manager-stuttgart-382417
2026-06-16,Senior Performance Marketing Manager - Paid Social (all genders),Neuraum Ventures GmbH,Berlin,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/neuraum-ventures-gmbh/senior-performance-marketing-manager-paid-social-all-genders-berlin-190601
2026-06-16,Marketing Operations Manager (m/w/d) | 100 % Remote,Schulz Digital GmbH,Cologne,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/schulz-digital-gmbh/marketing-operations-manager-100-remote-cologne-332231
2026-06-16,Junior Online Marketing Manager,Cyrus Digital GmbH,Munich,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/cyrus-digital-gmbh/junior-online-marketing-manager-munich-311721
